mimeType,model_id,tag_id,vqts
x-ra/cip/bool,,ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:49:05.066Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:49:06.754Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:49:08.754Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:49:10.754Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:49:12.754Z"",""v"":true}]"
x-ra/cip/bool,,ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:49:13.066Z"",""v"":false}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:49:14.754Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:49:16.754Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:49:18.754Z"",""v"":true}]"
x-ra/cip/bool,,ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:49:19.066Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:49:20.753Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:49:22.765Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:49:24.765Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:49:26.764Z"",""v"":true}]"
x-ra/cip/bool,,ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:49:27.066Z"",""v"":false}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:49:28.777Z"",""v"":true}]"
x-ra/cip/bool,test-model.New node.Slow_Flash.Flash_Output,ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output,"[{""q"":192,""t"":""2021-12-17T17:49:30.781Z"",""v"":true}]"
