Data Source,Tag,Name,Parent FQN,Type
tb1-process-plc,Production_History[0].Process_Finish_Time.Hour,Production_History[0].Process_Finish_Time.Hour,tb1-process-model.process_finish_time.hour,property
,,process_finish_time.microsecond,tb1-process-model,node
tb1-process-plc,Production_History[0].Process_Finish_Time.MicroSecond,Production_History[0].Process_Finish_Time.MicroSecond,tb1-process-model.process_finish_time.microsecond,property
,,process_finish_time.minute,tb1-process-model,node
tb1-process-plc,Production_History[0].Process_Finish_Time.Minute,Production_History[0].Process_Finish_Time.Minute,tb1-process-model.process_finish_time.minute,property
,,process_finish_time.month,tb1-process-model,node
tb1-process-plc,Production_History[0].Process_Finish_Time.Month,Production_History[0].Process_Finish_Time.Month,tb1-process-model.process_finish_time.month,property
,,process_finish_time.second,tb1-process-model,node
tb1-process-plc,Production_History[0].Process_Finish_Time.Second,Production_History[0].Process_Finish_Time.Second,tb1-process-model.process_finish_time.second,property
,,process_finish_time.year,tb1-process-model,node
tb1-process-plc,Production_History[0].Process_Finish_Time.Year,Production_History[0].Process_Finish_Time.Year,tb1-process-model.process_finish_time.year,property
,,process_start_time.day,tb1-process-model,node
tb1-process-plc,Production_History[0].Process_Start_Time.Day,Production_History[0].Process_Start_Time.Day,tb1-process-model.process_start_time.day,property
,,process_start_time.hour,tb1-process-model,node
tb1-process-plc,Production_History[0].Process_Start_Time.Hour,Production_History[0].Process_Start_Time.Hour,tb1-process-model.process_start_time.hour,property
,,process_start_time.microsecond,tb1-process-model,node
tb1-process-plc,Production_History[0].Process_Start_Time.MicroSecond,Production_History[0].Process_Start_Time.MicroSecond,tb1-process-model.process_start_time.microsecond,property
,,process_start_time.minute,tb1-process-model,node
tb1-process-plc,Production_History[0].Process_Start_Time.Minute,Production_History[0].Process_Start_Time.Minute,tb1-process-model.process_start_time.minute,property
,,process_start_time.month,tb1-process-model,node
tb1-process-plc,Production_History[0].Process_Start_Time.Month,Production_History[0].Process_Start_Time.Month,tb1-process-model.process_start_time.month,property
,,process_start_time.second,tb1-process-model,node
tb1-process-plc,Production_History[0].Process_Start_Time.Second,Production_History[0].Process_Start_Time.Second,tb1-process-model.process_start_time.second,property
,,process_start_time.year,tb1-process-model,node
tb1-process-plc,Production_History[0].Process_Start_Time.Year,Production_History[0].Process_Start_Time.Year,tb1-process-model.process_start_time.year,property
,,station_1_check_n_load_duration,tb1-process-model,node
